ERCC_ID	fraction_to_total			Re_sort_ID	Name	subgroup	concentration_in_Mix_1	molecules_in_nL in_1_1000_stock	molecules_in_each_chamber
ERCC-00002	0.144906495	ERCC-00002	DQ459430	70	RNA_SPIKE_MC28	D	15000	9000	4042.891204
ERCC-00003	0.009056656	ERCC-00003	DQ516784	72	RNA_SPIKE_MJ-1000-67	D	937.5	562.5	252.6807002
ERCC-00004	0.072453247	ERCC-00004	DQ516752	2	RNA_SPIKE_MJ-500-35	A	7500	4500	2021.445602
ERCC-00009	0.009056656	ERCC-00009	DQ668364	26	RNA_SPIKE_TagJ	B	937.5	562.5	252.6807002
ERCC-00012	1.11E-06	ERCC-00012	DQ883670	67	RNA_SPIKE_NISTag29	C	0.11444092	0.068664552	0.030844813
ERCC-00013	8.84E-06	ERCC-00013	EF011062	86	RNA_SPIKE_map	D	0.91552734	0.549316404	0.246758495
ERCC-00014	3.54E-05	ERCC-00014	DQ875385	82	RNA_SPIKE_DAP	D	3.66210938	2.197265628	0.987033987
ERCC-00016	2.21E-06	ERCC-00016	DQ883664	66	RNA_SPIKE_NISTag23	C	0.22888184	0.137329104	0.061689625
ERCC-00017	1.11E-06	ERCC-00017	DQ459420	22	RNA_SPIKE_MC09	A	0.11444092	0.068664552	0.030844813
ERCC-00019	0.00028302	ERCC-00019	DQ883651	10	RNA_SPIKE_NISTag10	A	29.296875	17.578125	7.896271882
ERCC-00022	0.002264164	ERCC-00022	DQ855004	74	RNA_SPIKE_AG019.0111	D	234.375	140.625	63.17017506
ERCC-00024	2.21E-06	ERCC-00024	DQ854993	65	RNA_SPIKE_AG005.0110	C	0.22888184	0.137329104	0.061689625
ERCC-00025	0.000566041	ERCC-00025	DQ883689	30	RNA_SPIKE_NISTag48	B	58.59375	35.15625	15.79254376
ERCC-00028	3.54E-05	ERCC-00028	DQ459419	15	RNA_SPIKE_MC08	A	3.66210938	2.197265628	0.987033987
ERCC-00031	1.77E-05	ERCC-00031	DQ459431	38	RNA_SPIKE_MC30	B	1.83105469	1.098632814	0.493516993
ERCC-00033	1.77E-05	ERCC-00033	DQ516796	16	RNA_SPIKE_MJ-2000-79	A	1.83105469	1.098632814	0.493516993
ERCC-00034	7.08E-05	ERCC-00034	DQ855001	35	RNA_SPIKE_AG012.1111	B	7.32421875	4.39453125	1.974067971
